"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12601","Signup in with New credentials","","Thu Jul 17 23:24:06 IST 2025","passed","Thu Jul 17 23:24:18 IST 2025","","","",""
"","9118","window handle","","Thu Jul 17 23:22:26 IST 2025","passed","Thu Jul 17 23:22:35 IST 2025","","windowhandle.spec.js","",""
"","13873","Create an order with valid credentials","","Thu Jul 17 23:24:18 IST 2025","passed","Thu Jul 17 23:24:32 IST 2025","","","",""
"","7617","Signup in with Invalid credentials","","Thu Jul 17 23:23:58 IST 2025","passed","Thu Jul 17 23:24:06 IST 2025","","","",""
